source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
Earth is the only place in the universe where life has been confirmed to exist.,Die Erde ist der einzige Ort im Universum mit bestätigtem Leben.,只有地球才能确认宇宙中的生命,Only Earth can confirm life in the universe.,Earth is the only place in the universe with confirmed life.
"It consisted of the American, British, and French occupation sectors established in 1945.","Es wurde aus den amerikanischen, britischen und französischen Besatzungssektoren gebildet, die 1945 gegründet wurden.",它拥有1945年建立的美国、英国和法国的住宅。,"It has residences in the United States, Britain and France, established in 1945.","It was formed from the American, British and French occupation sectors, which were founded in 1945."
"Origins Initially a part of Urartu, Sophene became a province of the newly emerged ancient Armenian Kingdom of Orontids around 600 BC.","Bevor Sophere die Provinz des alten armenischen Königreiches Orontids nahe 600 v. Chr. wurde, war er erster Teil von Urartu.","Sophene原来是Urartu的一部分,后来成为亚美尼亚奥龙提德王国的一个省。",Sophene was originally part of Urartu and became a province of the Orontid Kingdom of Armenia.,"Before Sophere became the province of the old Armenian kingdom of Orontids near 600 BC, it was the first part of Urartu."
"However, there are exceptions to this rule, such as defense rather than defence.",Ausnahmen von dieser Regel sind Verteidigung und nicht Verteidigung.,"这项规则的例外包括辩护,而不是辩护。","Exceptions to this rule include defence, not defence.",Exceptions to this rule are defence and not defence.
All of the Office 95 products have OLE 2 capacity — moving data automatically from various programs — and PowerPoint 7 shows that it was contemporary with Word 7.,"Beide Office 95 Elemente haben OLE 2 Fähigkeit — automatisch Daten von verschiedenen Programmen zu übertragen — und PowerPoint 7 zeigt, dass es zeitgemäß zu Word 7 war.","办公室所有95种产品都具有OLE 2能力——自动移动不同程序的数据。 PowerPoint 7显示,它与Word 7同时存在。",All 95 products of the Office have OLE 2 capabilities - automatically moving data from different programs. PowerPoint 7 shows that it exists at the same time as Word 7.,Both Office 95 elements have OLE 2 capability — automatically transferring data from different programs — and PowerPoint 7 shows that it was up to date with Word 7.
Littlest Pet Shop is a toy franchise owned by Hasbro.,Littlest Pet Shop ist ein Spielzeug-Franchise. Es ist im Besitz von Hasbro.,"小宠物店是玩具专卖权,属于Hasbro所有。",The pet shop is exclusive to toys and owned by Hasbro.,Littlest Pet Shop is a toy franchise. It is owned by Hasbro.
Kievan Rus' ultimately disintegrated and the lands were divided into many small feudal states.,Kievan Rus zerfiel und die Gebiete wurden in viele kleine Staaten aufgeteilt.,基辅鲁斯最终结束了 土地被划分成许多小封建州,"Kiev Rus is finally over, and the land is divided into many small feudal states.",Kievan Rus collapsed and the areas were divided into many small states.
"Occasionally, she starred in ""Maestro Minnie"" Maestro Minnie.","Sie spielte manchmal in ""Maestro Minnie""","她有时在""Meestro Minnie""上演","She plays ""Meestro Minnie"" sometimes.","She sometimes played in ""Maestro Minnie"""
Seeds of several species are the source of the popular beverage coffee.,Kaffee enthält mehrere Arten von Samen.,两种不同类型的种子是咖啡的来源。,Two different types of seeds are sources of coffee.,Coffee contains several types of seeds.
A medical emergency is an injury or illness that is acute and poses an immediate risk to a person's life or long term health.,"Ein medizinischer Notfall ist eine Verletzung oder Krankheit, die intensiv ist und ein unmittelbares Risiko für das Leben oder die langfristige Gesundheit ist.",医疗紧急情况是指对人的生命有直接危险的伤害或疾病。,Medical emergencies are injuries or diseases that pose a direct risk to human life.,A medical emergency is an injury or illness that is intense and is an immediate risk to life or long-term health.
Some notable series that trace their look and feel to Wizardry include The Bard's Tale and Might and Magic.,Einige Serien verfolgen ihr Aussehen und Gefühl zu Wizardry. Diese Serie umfasst The Bard's Tale and Might and Magic.,追踪巫师和魔术师外表的两个显著系列是《巴德的故事、力量和魔法》。,"Two distinct series of tracking witches and magicians are The Story of Bad, Power and Magic.",Some series follow their look and feel to Wizardry. This series includes The Bard's Tale and Might and Magic.
"Backstory The general plot of the game is that a team of four, an Alien, a Human, an Android, and a Psionic, have left Earth aboard a spacecraft on the basis of the planet's imminent destruction.","Die Geschichte des Spiels ist, dass ein Team von vier, ein Alien, ein Mensch, ein Android, und ein Psionic, haben die Erde auf einem Raumschiff verlassen, um der Zerstörung des Planeten zu entkommen.",这场游戏的总体理念是 由外星人、人类、Android人 和固态离开地球组成的团队 组成在一艘太空船上 因为地球即将毁灭,"The general idea of this game is that a team of aliens, humans, Androids and solids leaving the Earth will be formed on board a spaceship because the Earth is about to be destroyed.","The story of the game is that a team of four, an alien, a human, an Android, and a Psionic, have left Earth on a spaceship to escape the destruction of the planet."
Eastman and Kotik performed together extensively in the early to mid 1970s.,Eastman und Kotik spielten in den 1970er Jahren sehr viel zusammen.,1970年代初伊斯特曼和科提克合作很多,"In the early 1970s, Eastman and Cotick worked a lot together.",Eastman and Kotik played a lot together in the 1970s.
